Estimator: PolynomialKernel
Total number of parameters: 12000
Time started: 20240613-030517
Validation parameters: [501, 501, 501] (training, validation, jump)
Validation type: expanding
Task: Forecast
Normalisation type for inputs: MinMax
Normalisation type for targets: NormStd
Error type: meansquare
MinMax range for inputs: (0, 1) 
--------------------------------------------------------------------------------
First log reached. Amount of time elapsed is 52.48901844024658 seconds.
Estimated time to finish is 6298.68221282959 seconds.
--------------------------------------------------------------------------------
((2, 30, 1e-13, 0), 1.7852809453191774)
((2, 30, 1e-12, 0), 1.785280945319645)
((2, 30, 1e-14, 0), 1.7852809453191774)
((2, 30, 1e-11, 0), 1.7852809453198386)
((2, 30, 1e-09, 0), 1.7852809453181067)
((2, 30, 1e-08, 0), 1.7852809453046354)
((2, 30, 1e-10, 0), 1.7852809453194687)
((2, 30, 1e-07, 0), 1.7852809451727676)
((2, 30, 1e-06, 0), 1.785280943851533)
((2, 30, 1e-05, 0), 1.78528093064068)
((2, 30, 0.0001, 0), 1.785280798529015)
((2, 30, 0.001, 0), 1.785279477421978)
((2, 30, 0.01, 0), 1.785266267093958)
((2, 30, 0.1, 0), 1.7851342380248627)
((2, 31, 1e-14, 0), 1.8000179302128658)
((2, 31, 1e-13, 0), 1.8000179302128658)
((2, 31, 1e-15, 0), 1.8000179302128658)
((2, 31, 1e-12, 0), 1.8000179302129489)
((2, 31, 1e-11, 0), 1.8000179302129447)
((2, 31, 1e-10, 0), 1.8000179302127173)
((2, 31, 1e-09, 0), 1.800017930211515)
((2, 31, 1e-06, 0), 1.8000179288134994)
((2, 31, 1e-07, 0), 1.800017930073124)
((2, 31, 1e-08, 0), 1.8000179301989938)
((2, 31, 1e-05, 0), 1.800017916216925)
((2, 31, 0.001, 0), 1.8000165306121574)
((2, 31, 0.0001, 0), 1.8000177902522974)
((2, 31, 0.01, 0), 1.8000039348521182)
((2, 31, 0.1, 0), 1.7998780413885604)
((2, 32, 1e-14, 0), 1.8137308242094516)
((2, 32, 1e-15, 0), 1.8137308242094516)
((2, 32, 1e-13, 0), 1.8137308242094516)
((2, 32, 1e-11, 0), 1.8137308242096726)
((2, 32, 1e-12, 0), 1.8137308242096395)
((2, 32, 1e-10, 0), 1.8137308242096766)
((2, 32, 1e-08, 0), 1.8137308241967722)
((2, 32, 1e-07, 0), 1.8137308240776477)
((2, 32, 1e-09, 0), 1.8137308242083883)
((2, 32, 1e-06, 0), 1.8137308228872993)
((2, 32, 1e-05, 0), 1.813730810986911)
((2, 32, 0.0001, 0), 1.8137306919817884)
((2, 32, 0.001, 0), 1.8137295019366124)
((2, 32, 0.01, 0), 1.8137176020337609)
((2, 32, 0.1, 0), 1.813598658004171)
((2, 33, 1e-15, 0), 1.8256134450137722)
((2, 33, 1e-14, 0), 1.8256134450137722)
((2, 33, 1e-12, 0), 1.8256134450137722)
((2, 33, 1e-13, 0), 1.8256134450137722)
((2, 33, 1e-11, 0), 1.8256134450137638)
((2, 33, 1e-10, 0), 1.825613445013527)
((2, 33, 1e-09, 0), 1.8256134450130475)
((2, 33, 1e-08, 0), 1.825613445001298)
((2, 33, 1e-05, 0), 1.8256134325389062)
((2, 33, 1e-06, 0), 1.8256134437662872)
((2, 33, 1e-07, 0), 1.825613444889001)
((2, 33, 0.0001, 0), 1.8256133202625981)
((2, 33, 0.001, 0), 1.8256121975069646)
((2, 33, 0.01, 0), 1.8256009704223253)
((2, 33, 0.1, 0), 1.8254887466007446)
((2, 34, 1e-15, 0), 1.8373539885720014)
((2, 34, 1e-14, 0), 1.8373539885720014)
((2, 34, 1e-12, 0), 1.8373539885720014)
((2, 34, 1e-13, 0), 1.8373539885720014)
((2, 34, 1e-11, 0), 1.8373539885716803)
((2, 34, 1e-10, 0), 1.8373539885715302)
((2, 34, 1e-09, 0), 1.8373539885706394)
